game_id,question_number,asset_name,pm_id,last_completed,start_counter,sequence,correct_due_date,correct_frequency,submitted_due_date,submitted_frequency,attempts,correct,score
9908cd622bf04d0b98f911ea655e3aef,1,PUMP-5341,PM53624,04/01/2021,11,"{""JP439821M"": {""interval"": 1, ""months"": 1}, ""JP439822M"": {""interval"": 2, ""months"": 2}, ""JP439826M"": {""interval"": 6, ""months"": 6}, ""JP439821Y"": {""interval"": 12, ""months"": 12}, ""JP439822Y"": {""interval"": 24, ""months"": 24}}",04/02/2021,12,01/01/2010,2,3,False,0
9908cd622bf04d0b98f911ea655e3aef,2,AHU-9019,PM10908,14/03/2024,9,"{""JP423246M"": {""interval"": 1, ""months"": 6}, ""JP423242Y"": {""interval"": 4, ""months"": 24}, ""JP423245Y"": {""interval"": 10, ""months"": 60}}",14/09/2024,60,01/01/2010,24,3,False,0
9908cd622bf04d0b98f911ea655e3aef,3,CHILLER-7833,PM40419,24/05/2022,103,"{""JP677112M"": {""interval"": 1, ""months"": 2}, ""JP677111Y"": {""interval"": 6, ""months"": 12}, ""JP677112Y"": {""interval"": 12, ""months"": 24}, ""JP677115Y"": {""interval"": 30, ""months"": 60}}",24/07/2022,2,01/01/2010,12,3,False,0
9908cd622bf04d0b98f911ea655e3aef,4,AHU-2110,PM84165,26/09/2025,48,"{""JP706033M"": {""interval"": 1, ""months"": 3}, ""JP706036M"": {""interval"": 2, ""months"": 6}, ""JP706031Y"": {""interval"": 4, ""months"": 12}, ""JP706032Y"": {""interval"": 8, ""months"": 24}, ""JP706035Y"": {""interval"": 20, ""months"": 60}}",26/12/2025,3,01/01/2010,6,3,False,0
9908cd622bf04d0b98f911ea655e3aef,5,CHILLER-4012,PM83986,08/03/2022,102,"{""JP493761Y"": {""interval"": 1, ""months"": 12}, ""JP493762Y"": {""interval"": 2, ""months"": 24}, ""JP493765Y"": {""interval"": 5, ""months"": 60}}",08/03/2023,12,01/01/2010,24,3,False,0
9908cd622bf04d0b98f911ea655e3aef,6,FAN-8246,PM97480,11/04/2023,87,"{""JP198901M"": {""interval"": 1, ""months"": 1}, ""JP198902M"": {""interval"": 2, ""months"": 2}, ""JP198903M"": {""interval"": 3, ""months"": 3}, ""JP198906M"": {""interval"": 6, ""months"": 6}, ""JP198901Y"": {""interval"": 12, ""months"": 12}, ""JP198902Y"": {""interval"": 24, ""months"": 24}, ""JP198905Y"": {""interval"": 60, ""months"": 60}}",11/05/2023,2,01/01/2010,2,3,False,0
9908cd622bf04d0b98f911ea655e3aef,7,PUMP-9509,PM96585,12/01/2025,45,"{""JP634241Y"": {""interval"": 1, ""months"": 12}, ""JP634242Y"": {""interval"": 2, ""months"": 24}, ""JP634245Y"": {""interval"": 5, ""months"": 60}}",12/01/2026,24,12/01/2026,24,1,True,3
9908cd622bf04d0b98f911ea655e3aef,8,BOILER-6171,PM62199,12/11/2023,43,"{""JP292841Y"": {""interval"": 1, ""months"": 12}, ""JP292842Y"": {""interval"": 2, ""months"": 24}, ""JP292845Y"": {""interval"": 5, ""months"": 60}}",12/11/2024,24,12/11/2024,24,2,True,2
9908cd622bf04d0b98f911ea655e3aef,9,CHILLER-1163,PM34010,09/04/2020,110,"{""JP332513M"": {""interval"": 1, ""months"": 3}, ""JP332516M"": {""interval"": 2, ""months"": 6}, ""JP332511Y"": {""interval"": 4, ""months"": 12}, ""JP332512Y"": {""interval"": 8, ""months"": 24}}",09/07/2020,3,01/01/2010,6,3,False,0
9908cd622bf04d0b98f911ea655e3aef,10,CHILLER-4830,PM53222,17/03/2025,82,"{""JP892513M"": {""interval"": 1, ""months"": 3}, ""JP892516M"": {""interval"": 2, ""months"": 6}, ""JP892515Y"": {""interval"": 20, ""months"": 60}}",17/06/2025,3,01/01/2010,6,3,False,0
